time,angle,angular_velocity,x,y
0,0.523108,-0.04905,0.499575,-0.866271
0.01,0.522128,-0.0980338,0.498726,-0.86676
0.02,0.520659,-0.14691,0.497452,-0.867492
0.03,0.518702,-0.195636,0.495754,-0.868463
0.04,0.516261,-0.244172,0.493632,-0.869671
0.05,0.513336,-0.292475,0.491086,-0.871111
0.06,0.509931,-0.340504,0.488117,-0.872778
0.07,0.506049,-0.388218,0.484725,-0.874667
0.08,0.501693,-0.435576,0.480911,-0.87677
0.09,0.496868,-0.482535,0.476674,-0.87908
0.1,0.491577,-0.529056,0.472017,-0.88159
0.11,0.485826,-0.575096,0.466939,-0.884289
0.12,0.47962,-0.620615,0.461442,-0.88717
0.13,0.472964,-0.665573,0.455527,-0.890222
0.14,0.465865,-0.709927,0.449196,-0.893433
0.15,0.458329,-0.753638,0.44245,-0.896793
0.16,0.450362,-0.796666,0.435291,-0.90029
0.17,0.441972,-0.838969,0.427723,-0.90391
0.18,0.433167,-0.88051,0.419748,-0.907641
0.19,0.423955,-0.921247,0.411368,-0.911469
0.2,0.414343,-0.961141,0.402589,-0.915381
0.21,0.404342,-1.00015,0.393414,-0.919362
0.22,0.393959,-1.03825,0.383847,-0.923397
0.23,0.383205,-1.07538,0.373895,-0.927471
0.24,0.37209,-1.11153,0.363563,-0.931569
0.25,0.360624,-1.14664,0.352858,-0.935677
0.26,0.348817,-1.18068,0.341786,-0.939778
0.27,0.336681,-1.21362,0.330356,-0.943856
0.28,0.324227,-1.24542,0.318576,-0.947897
0.29,0.311466,-1.27605,0.306455,-0.951885
0.3,0.298411,-1.30547,0.294002,-0.955805
0.31,0.285075,-1.33366,0.281229,-0.959641
0.32,0.271469,-1.36058,0.268147,-0.963378
0.33,0.257607,-1.38621,0.254767,-0.967002
0.34,0.243502,-1.41051,0.241103,-0.9705
0.35,0.229167,-1.43345,0.227167,-0.973856
0.36,0.214617,-1.45502,0.212973,-0.977058
0.37,0.199865,-1.47519,0.198537,-0.980093
0.38,0.184926,-1.49393,0.183874,-0.98295
0.39,0.169814,-1.51122,0.168999,-0.985616
0.4,0.154543,-1.52704,0.153929,-0.988082
0.41,0.13913,-1.54138,0.138681,-0.990337
0.42,0.123587,-1.55421,0.123273,-0.992373
0.43,0.107932,-1.56553,0.107723,-0.994181
0.44,0.092179,-1.57531,0.0920485,-0.995755
0.45,0.0763435,-1.58356,0.0762693,-0.997087
0.46,0.060441,-1.59025,0.0604042,-0.998174
0.47,0.0444872,-1.59538,0.0444726,-0.999011
0.48,0.0284978,-1.59894,0.028494,-0.999594
0.49,0.0124885,-1.60094,0.0124881,-0.999922
0.5,-0.00352515,-1.60136,-0.00352515,-0.999994
0.51,-0.0195273,-1.60022,-0.0195261,-0.999809
0.52,-0.0355023,-1.5975,-0.0354948,-0.99937
0.53,-0.0514345,-1.59322,-0.0514118,-0.998678
0.54,-0.0673083,-1.58738,-0.0672575,-0.997736
0.55,-0.0831081,-1.57999,-0.0830125,-0.996549
0.56,-0.0988187,-1.57105,-0.0986579,-0.995121
0.57,-0.114425,-1.56059,-0.114175,-0.993461
0.58,-0.129911,-1.54861,-0.129546,-0.991573
0.59,-0.145262,-1.53513,-0.144752,-0.989468
0.6,-0.160463,-1.52016,-0.159776,-0.987153
0.61,-0.175501,-1.50372,-0.174601,-0.984639
0.62,-0.190359,-1.48584,-0.189212,-0.981936
0.63,-0.205025,-1.46654,-0.203591,-0.979056
0.64,-0.219483,-1.44583,-0.217725,-0.97601
0.65,-0.23372,-1.42375,-0.231598,-0.972811
0.66,-0.247724,-1.40032,-0.245198,-0.969473
0.67,-0.261479,-1.37557,-0.25851,-0.966009
0.68,-0.274974,-1.34952,-0.271522,-0.962432
0.69,-0.288197,-1.32221,-0.284224,-0.958758
0.7,-0.301133,-1.29366,-0.296603,-0.955001
0.71,-0.313772,-1.26392,-0.308649,-0.951176
0.72,-0.326103,-1.23301,-0.320353,-0.947298
0.73,-0.338112,-1.20097,-0.331707,-0.943383
0.74,-0.34979,-1.16783,-0.342701,-0.939445
0.75,-0.361127,-1.13362,-0.353328,-0.935499
0.76,-0.372111,-1.09839,-0.363582,-0.931562
0.77,-0.382732,-1.06218,-0.373457,-0.927648
0.78,-0.392983,-1.02501,-0.382945,-0.923771
0.79,-0.402852,-0.986932,-0.392043,-0.919947
0.8,-0.412332,-0.947979,-0.400747,-0.916189
